,record_number,chord_name,chord_count,title,composer,year
575,593,enharmonic equivalent to minor triad above F#,7,"Prelude and Fugue in C sharp major, WTC I, BWV 848",Johann Sebastian Bach,2011
576,594,F#-incomplete dominant-seventh chord,7,"Prelude and Fugue in C-Sharp Major, WTC I, BWV 848",Johann Sebastian Bach,2011
577,595,Eb-quartal trichord,6,"Prelude and Fugue in C-Sharp Major, WTC I, BWV 848",Johann Sebastian Bach,2011
578,596,F#-incomplete dominant-seventh chord,6,"Prelude and Fugue in C-sharp Major, BWV 848",Johann Sebastian Bach,2013
579,597,F#-incomplete dominant-seventh chord,9,"Prelude and Fugue in C-sharp Major, WTC I",Johann Sebastian Bach,2008
580,598,enharmonic equivalent to minor triad above Bb,4,"Prelude and Fugue in C-sharp Major, WTC I",Johann Sebastian Bach,2008
581,599,F#-incomplete dominant-seventh chord,8,"Prelude and Fugue in C-sharp Major, WTC I, BWV 848",Johann Sebastian Bach,2015
582,600,enharmonic equivalent to major triad above F,6,"Prelude and Fugue in C-sharp Major, WTC I, BWV 848",Johann Sebastian Bach,2013
583,601,enharmonic equivalent to major triad above C#,7,"Prelude and Fugue in C-sharp Major, WTC I, BWV 848",Johann Sebastian Bach,2017
584,602,E-major triad,14,"Prelude and Fugue in D Major, Book II",Johann Sebastian Bach,2018
585,603,D-major triad,21,"Prelude and Fugue in D Major, WTC II, BWV 874",Johann Sebastian Bach,2015
586,604,A-major triad,22,"Prelude and Fugue in D Major, WTC II, BWV 874",Johann Sebastian Bach,2013
587,605,G#-tritone-fourth,7,"Prelude and Fugue in D Major, WTC II, BWV 874",Johann Sebastian Bach,2011
588,606,D-major triad,12,"Prelude and Fugue in D Major, WTC II, BWV 874",Johann Sebastian Bach,2011
589,607,G-major triad,5,"Prelude and Fugue in D Minor, WTC I, BWV 851",Johann Sebastian Bach,2011
590,608,enharmonic equivalent to minor triad above F#,7,"Prelude and Fugue in D-flat Major, WTC I, BWV 848",Johann Sebastian Bach,2011
591,609,enharmonic equivalent to minor triad above Bb,3,"Prelude and Fugue in D-flat Major, WTC I, BWV 848",Johann Sebastian Bach,2017
592,610,C#-minor triad,6,"Prelude and Fugue in E Major, WTC I, BWV 854",Johann Sebastian Bach,2013
593,611,F#-minor triad,8,"Prelude and Fugue in E Major, WTC I, BWV 854",Johann Sebastian Bach,2013
594,612,C#-minor triad,7,"Prelude and Fugue in E Major, WTC I, BWV 854",Johann Sebastian Bach,2011
595,613,F#-minor triad,7,"Prelude and Fugue in E Major, WTC I, BWV 854",Johann Sebastian Bach,2017
596,614,A-major triad,13,"Prelude and Fugue in E Major, WTC I, BWV 854",Johann Sebastian Bach,2017
597,615,C#-minor triad,5,"Prelude and Fugue in E Major, WTC I, BWV 854  ",Johann Sebastian Bach,2015
598,616,F-incomplete dominant-seventh chord,13,"Prelude and Fugue in E-flat Major, WTC I",Johann Sebastian Bach,2008
599,617,enharmonic equivalent to diminished triad above A,17,"Prelude and Fugue in E-flat Major, WTC II, BWV 876",Johann Sebastian Bach,2011
600,618,Eb-quartal trichord,9,"Prelude and Fugue in E-flat Major, WTC II, BWV 876",Johann Sebastian Bach,2017
601,619,enharmonic equivalent to diminished triad above F,14,"Prelude and Fugue in E-flat Minor WTC I, BWV 853",Johann Sebastian Bach,2017
602,620,enharmonic equivalent to diminished triad above F#,13,"Prelude and Fugue in E-flat Minor, WTC I, BWV 853",Johann Sebastian Bach,2015
603,621,enharmonic equivalent to minor triad above Eb,16,"Prelude and Fugue in E-flat Minor, WTC I, BWV 853",Johann Sebastian Bach,2017
604,622,enharmonic equivalent to minor triad above B,7,"Prelude and Fugue in E-flat Minor, WTC I, BWV 853",Johann Sebastian Bach,2017
605,623,enharmonic equivalent to diminished triad above F#,8,"Prelude and Fugue in E-flat Minor, WTC I, BWV 853",Johann Sebastian Bach,2017
606,624,D-incomplete dominant-seventh chord,7,"Prelude and Fugue in F Major, WTC I, BWV 856",Johann Sebastian Bach,2015
607,625,C-major triad,13,"Prelude and Fugue in F Major, WTC II",Johann Sebastian Bach,2008
608,626,C-major triad,11,"Prelude and Fugue in F Major, WTC II, BWV 880",Johann Sebastian Bach,2017
609,627,C-incomplete dominant-seventh chord,5,"Prelude and Fugue in F Minor, WTC I",Johann Sebastian Bach,2008
610,628,enharmonic equivalent to minor triad above C#,5,"Prelude and Fugue in F Minor, WTC I, BWV 857",Johann Sebastian Bach,2015
611,629,C-incomplete dominant-seventh chord,12,"Prelude and Fugue in F Minor, WTC I, BWV 857",Johann Sebastian Bach,2015
612,630,enharmonic equivalent to minor triad above F,2,"Prelude and Fugue in F Minor, WTC I, BWV 857",Johann Sebastian Bach,2011
613,631,enharmonic equivalent to minor triad above C#,10,"Prelude and Fugue in F Minor, WTC I, BWV 857",Johann Sebastian Bach,2011
614,632,enharmonic equivalent to minor triad above C#,7,"Prelude and Fugue in F Minor, WTC I, BWV 857",Johann Sebastian Bach,2017
615,633,enharmonic equivalent to minor triad above C#,11,"Prelude and Fugue in F Minor, WTC I, BWV 857",Johann Sebastian Bach,2017
616,634,C-major triad,11,"Prelude and Fugue in G Major, WTC I",Johann Sebastian Bach,2008
617,635,C-major triad,11,"Prelude and Fugue in G Major, WTC I",Johann Sebastian Bach,2008
618,636,C-major triad,8,"Prelude and Fugue in G Major, WTC I",Johann Sebastian Bach,2008
619,637,C#-diminished triad,8,"Prelude and Fugue in G Major, WTC I",Johann Sebastian Bach,2008
620,638,C-major triad,12,"Prelude and Fugue in G Major, WTC I, BWV 860",Johann Sebastian Bach,2015
621,639,C-major triad,12,"Prelude and Fugue in G Major, WTC I, BWV 860",Johann Sebastian Bach,2013
622,640,C-major triad,11,"Prelude and Fugue in G Major, WTC I, BWV 860",Johann Sebastian Bach,2017
623,641,E-diminished triad,2,"Prelude and Fugue in G Major, WTC II, BWV 884",Johann Sebastian Bach,2017
624,642,C-minor seventh chord,27,"Prelude and Fugue in G Minor, WTC II",Johann Sebastian Bach,2008
625,643,D-incomplete dominant-seventh chord,24,"Prelude and Fugue in G Minor, WTC II,  BWV 885",Johann Sebastian Bach,2011
626,644,C-incomplete dominant-seventh chord,43,"Prelude and Fugue in G Minor, WTC II, BWV 885",Johann Sebastian Bach,2015
627,645,enharmonic equivalent to diminished triad above D,2,"Prelude and Fugue in G Minor, WTC II, BWV 885",Johann Sebastian Bach,2011
628,646,Eb-major triad,29,"Prelude and Fugue in G-sharp Minor, WTC II, BWV 887",Johann Sebastian Bach,2015
629,647,C-quartal trichord,59,Prelude from English Suite No. 3 in G Major,Johann Sebastian Bach,2013
630,648,A-dominant seventh chord,21,"Prelude from English Suite No. 6 in D Minor, BWV 811",Johann Sebastian Bach,2013
631,649,E-dominant seventh chord,12,"Prelude from the English Suite No. 1 in A Major, BWV 806",Johann Sebastian Bach,2011
632,650,G-incomplete dominant-seventh chord,18,"Prelude from the English Suite No. 2 in A Minor, BWV 807",Johann Sebastian Bach,2011
633,651,A-major-minor trichord,15,Prelude from the English Suite No. 6,Johann Sebastian Bach,2013
634,652,C#-diminished triad,26,"Prelude from the English Suite No. 6 in D Minor, BWV 811",Johann Sebastian Bach,2011
635,653,Eb-incomplete major-seventh chord,15,"Toccata from Partita No. 6 in E Minor, Missing Opening!!!!",Johann Sebastian Bach,2014
636,654,C-major triad,19,"Toccata in C Minor, BWV 911",Johann Sebastian Bach,2018
637,655,D-incomplete minor-seventh chord,42,"Toccata in C Minor, BWV 911",Johann Sebastian Bach,2014
638,656,enharmonic to dominant seventh chord above B,10,"Toccata in E Minor, BWV 914",Johann Sebastian Bach,2008
639,657,enharmonic equivalent to major triad above B,13,"Toccata in E Minor, BWV 914",Johann Sebastian Bach,2015
640,658,C-incomplete minor-seventh chord,43,"""Sheep May Safely Graze""",Johann Sebastian Bach / Egon Petri,2013
641,659,G-minor triad,53,"Sheep May Safely Graze, from Bach's Birthday Cantata",Johann Sebastian Bach / Egon Petri,2004
642,660,Bb-major triad,2,"""Wachet  auf, ruft uns die Stimme' BWV 645",Johann Sebastian Bach / Ferruccio Busoni,2004
643,661,A-major triad,113,Chaconne BWV1004,Johann Sebastian Bach / Ferruccio Busoni,2006
644,662,G-quartal trichord,122,Chaconne in D Minor,Johann Sebastian Bach / Ferruccio Busoni,2014
645,663,D-major triad,138,"Chaconne in D Minor, BWV 1004",Johann Sebastian Bach / Ferruccio Busoni,2004
646,664,G-minor triad,65,Toccata in DMin.,Johann Sebastian Bach / Ferruccio Busoni,2006
647,665,A-major triad,9,"Prelude and Fugue in A Minor, S.462/1",Johann Sebastian Bach / Franz Liszt,2011
648,666,E-incomplete dominant-seventh chord,22,"Prelude and Fugue in A Minor, S.462/1",Johann Sebastian Bach / Franz Liszt,2011
649,667,F-major triad,151,Var. on BACH,Johann Sebastian Bach / Franz Liszt,2006
650,668,A-minor triad,16,"Jesu, Joy of Man’s Desiring, BWV 147",Johann Sebastian Bach / Myra Hess,2014
651,669,enharmonic equivalent to diminished triad above Bb,104,"Soiree de Vienne, Op. 56 (Concert Paraphrase on the overture from Die Fledermaus)",Johann Strauss / Alfred Grünfeld,2015
652,670,D-major triad,94,Fantasias Op. 116 (Selections),Johannes Brahms,2017
653,671,D-major triad,51,Fantasien Op.116,Johannes Brahms,2006
654,672,D-major triad,97,"Fantasies, Op. 116 No. 7 (Complete)",Johannes Brahms,2014
655,673,enharmonic equivalent to minor triad above Bb,16,Intermezzo Op. 118 No. 6 in E-flat Minor,Johannes Brahms,2008
656,674,A-minor triad,32,"Paganini Variations, Op. 35 Book 2",Johannes Brahms,2017
657,675,A-minor triad,46,"Paganini Variations, Op. 35 Book II",Johannes Brahms,2008
658,676,A-minor triad,114,"Paganini Variations, Op. 35 Books I and II",Johannes Brahms,2009
659,677,enharmonic equivalent to minor triad above Bb,102,"Six Pieces for Piano, Op. 118",Johannes Brahms,2013
660,678,F-major triad,98,"Sonata No. 3 in F Minor, Op. 5",Johannes Brahms,2009
661,679,F-major triad,127,Sonata Op. 5,Johannes Brahms,2006
662,680,F-major triad,92,"Sonata in F Minor, Op. 5",Johannes Brahms,2004
663,681,enharmonic equivalent to minor triad above G#,67,"Sonata in F Minor, Op. 5",Johannes Brahms,2004
664,682,Bb-major triad,93,"Sonata in F Minor, Op. 5",Johannes Brahms,2004
665,683,F-incomplete dominant-seventh chord,115,"Variations and Fugue on the Theme of Händel, Op. 24",Johannes Brahms,2014
666,684,Bb-major triad,144,"Variations and Fugue on the theme of Handel, Op. 24",Johannes Brahms,2018
667,685,A-minor triad,48,"Variations on a Theme by Paganini, Op. 35 Book II",Johannes Brahms,2015
668,686,E-major triad,37,"Variations on a Theme by Paganini, Op. 35 Book II",Johannes Brahms,2015
669,687,E-major triad,53,"Variations on a Theme by Paganini, Op. 35, Book II",Johannes Brahms,2013
670,688,A-minor triad,79,"Variations on a Theme by Paganini, Op. 35, Volumes 1 & 2",Johannes Brahms,2004
671,689,A-minor triad,131,Variations on a theme by Paganini (Books I & II),Johannes Brahms,2004
672,690,C-major triad,88,"Piano Sonata in C major, Hob. XVI:50 (Complete)",Joseph Haydn,2014
673,691,enharmonic to dominant seventh chord above F#,30,Son. Hob. XVI:32,Joseph Haydn,2006
674,692,Eb-major triad,53,Son. Hob. XVI:52,Joseph Haydn,2006
675,693,Eb-major triad,49,Son. Hob. XVI:52,Joseph Haydn,2006
676,694,enharmonic equivalent to minor triad above C#,17,"Sonata in A-Flat Major, Hob. XVI:46, I. Allegro moderato",Joseph Haydn,2017
677,695,C-minor triad,14,"Sonata in A-flat Major, Hob. XVI: 46, I. Allegro moderato",Joseph Haydn,2015
678,696,C#-Italian augmented sixth chord,21,"Sonata in A-flat Major, No. 31 Hob. XVI:46, 1st mov.",Joseph Haydn,2013
679,697,Bb-major triad,17,"Sonata in B-flat Major, Hob.XVI:41",Joseph Haydn,2011
680,698,C-major triad,117,"Sonata in C Major, Hob. XVI/50",Joseph Haydn,2009
681,699,G-incomplete dominant-seventh chord,48,"Sonata in C Major, Hob. XVI: 50, I. Allegro",Joseph Haydn,2015
682,700,D-minor triad,54,"Sonata in C Major, Hob. XVI: 50, I. Allegro",Joseph Haydn,2015
683,701,C-major triad,38,"Sonata in C Major, Hob. XVI:48 (Complete)",Joseph Haydn,2014
684,702,D-minor triad,44,"Sonata in C Major, Hob. XVI:48 (Complete)",Joseph Haydn,2014
685,703,G-incomplete dominant-seventh chord,42,"Sonata in C Major, Hob. XVI:50",Joseph Haydn,2004
686,704,F-major triad,8,"Sonata in C Major, Hob. XVI:50",Joseph Haydn,2004
687,705,C-major triad,43,"Sonata in C Major, Hob. XVI:50",Joseph Haydn,2004
688,706,G-incomplete dominant-seventh chord,53,"Sonata in C Major, Hob. XVI:50, 1st mov.",Joseph Haydn,2013
689,707,D-minor triad,37,"Sonata in C Major, Hob. XVI:50, 1st mov.",Joseph Haydn,2013
690,708,G-incomplete dominant-seventh chord,38,"Sonata in C Major, Hob. XVI:50, First Movement",Joseph Haydn,2008
691,709,C-major triad,84,"Sonata in C major, Hob. XVI: 50",Joseph Haydn,2018
692,710,F#-minor triad,6,"Sonata in E Major, Hob. XVI:31, First Movement",Joseph Haydn,2008
693,711,Eb-major triad,52,"Sonata in E-flat Major, Hob. XVI: 52, I. Allegro",Joseph Haydn,2015
694,712,Eb-major triad,48,"Sonata in E-flat Major, Hob. XVI:52, 1st mov.",Joseph Haydn,2013
695,713,Eb-major triad,48,"Sonata in E-flat Major, Hob. XVI:52, First Movement",Joseph Haydn,2008
696,714,G-minor trichord,50,"Sonata in E-flat Major, Hob. XVI:52, First Movement",Joseph Haydn,2011
697,715,Eb-major triad,37,"Sonata in E-flat Major, Hob. XVI:52, First Movement",Joseph Haydn,2011
698,716,Eb-major triad,48,"Sonata in E-flat major, Hob. XVI:52, I. Allegro",Joseph Haydn,2017
699,717,C-major triad,29,"Sonata in F Major, Hob. XVI:23",Joseph Haydn,2018
700,718,F-major triad,11,"Sonata in in F Major, Hob. XVI: 23, I. Allegro moderato",Joseph Haydn,2015
701,719,enharmonic equivalent to diminished triad above E,37,In the Mists,Leoš Janáček,2018
702,720,C#-minor triad,11,"In the Mists, I. Andante  ",Leoš Janáček,2015
703,721,G#-incomplete dominant-seventh chord,66,"Piano Sonata 1. X. 1905 ""From the Street""",Leoš Janáček,2018
704,722,enharmonic equivalent to minor triad above Eb,64,"Sonata 1.x.1905 ""On the Streets""",Leoš Janáček,2009
705,723,Eb-major triad,29,Bagatelles Op126,Ludwig van Beethoven,2006
706,724,Eb-major triad,74,"Bagatelles, Op. 126 (Complete)",Ludwig van Beethoven,2014
707,725,Eb-major triad,41,"Bagtellen, Op.126",Ludwig van Beethoven,2009
708,726,enharmonic equivalent to major triad above B,84,"Fantasia, Op. 77",Ludwig van Beethoven,2014
709,727,D-minor triad,52,"Sonata No. 17 in D Minor, Op. 31 No. 2, 1st Movement",Ludwig van Beethoven,2011
710,728,D-minor triad,39,"Sonata No. 17 in D Minor, Op. 31 No. 2, First Movement",Ludwig van Beethoven,2011
711,729,D-minor triad,34,"Sonata No. 17 in D Minor, Op. 31 No. 2, First Movement",Ludwig van Beethoven,2011
712,730,D-minor triad,42,"Sonata No. 17 in D minor, Op. 31 No. 2, 1st mov.",Ludwig van Beethoven,2013
713,731,D-minor triad,27,"Sonata No. 17, Op. 31 No. 2 in D Minor ""Tempest"", I. Largo-Allegro",Ludwig van Beethoven,2017
714,732,D-minor triad,33,"Sonata No. 17, Op. 31 No. 2 in D Minor ""Tempest"", I. Largo-Allegro",Ludwig van Beethoven,2017
715,733,D-minor triad,31,"Sonata No. 17, Op. 31 No. 2 in D Minor ""Tempest"", I. Largo-Allegro",Ludwig van Beethoven,2017
716,734,D-minor triad,39,"Sonata No. 17, Op. 31 No. 2 in D Minor ""Tempest"", I. Largo-Allegro",Ludwig van Beethoven,2017
717,735,C-major triad,92,"Sonata No. 21 in  C Major, Op. 53",Ludwig van Beethoven,2009
718,736,C-major triad,99,"Sonata No. 21 in C Major, Op. 53",Ludwig van Beethoven,2018
719,737,G-major triad,91,"Sonata No. 21 in C Major, Op. 53, ""Waldstein"", First Movement",Ludwig van Beethoven,2011
720,738,C-major triad,116,"Sonata No. 21 in C Major, Op. 53, ""Waldstein"", First Movement",Ludwig van Beethoven,2011
721,739,C-major triad,70,"Sonata No. 21 in C Major, Op. 53, ""Waldstein"", First Movement",Ludwig van Beethoven,2011
722,740,C-major triad,95,"Sonata No. 21 in C Major, Op. 53, 1st mov.",Ludwig van Beethoven,2013
723,741,C-major triad,74,"Sonata No. 21 in C Major, Op. 53, First Movement",Ludwig van Beethoven,2008
724,742,C-major triad,98,"Sonata No. 21 in C Major, Op. 53, I. Allegro con brio",Ludwig van Beethoven,2015
725,743,C-major triad,93,"Sonata No. 21 in C Major, Op. 53, I. Allegro con brio",Ludwig van Beethoven,2015
726,744,C-major triad,92,"Sonata No. 21 in C major, Op. 53, 1st mov.",Ludwig van Beethoven,2013
727,745,C-major triad,103,"Sonata No. 21 in C major, Op. 53, “Waldstein,” I. Allegro con brio",Ludwig van Beethoven,2014
728,746,C-major triad,100,"Sonata No. 21, Op. 53, ""Waldstein"", I. Allegro con brio",Ludwig van Beethoven,2017
729,747,G-major triad,128,"Sonata No. 21, Op. 53, ""Waldstein"", I. Allegro con brio",Ludwig van Beethoven,2017
730,748,C-major triad,123,"Sonata No. 21, Op. 53, ""Waldstein"", I. Allegro con brio",Ludwig van Beethoven,2017
731,749,C-major triad,80,"Sonata No. 21, Op. 53, ""Waldstein"", I. Allegro con brio",Ludwig van Beethoven,2017
732,750,G-major triad,115,"Sonata No. 21, Op. 53, ""Waldstein"", I. Allegro con brio",Ludwig van Beethoven,2017
733,751,C-major triad,104,"Sonata No. 21, Op. 53, ""Waldstein"", I. Allegro con brio",Ludwig van Beethoven,2017
734,752,C-major triad,115,"Sonata No. 23 in F Minor, Op. 57 ""Appassionata"", First Movement",Ludwig van Beethoven,2008
735,753,enharmonic equivalent to minor triad above F,104,"Sonata No. 23 in F Minor, Op. 57 (Complete)",Ludwig van Beethoven,2015
736,754,C-major triad,62,"Sonata No. 23 in F Minor, Op. 57, First Movement",Ludwig van Beethoven,2011
737,755,enharmonic equivalent to minor triad above C,78,"Sonata No. 23 in F Minor, Op. 57, First Movement",Ludwig van Beethoven,2011
738,756,enharmonic equivalent to minor triad above C,73,"Sonata No. 23 in F Minor, Op. 57, First Movement",Ludwig van Beethoven,2011
739,757,C-major triad,86,"Sonata No. 23 in F Minor, Op. 57, First movement",Ludwig van Beethoven,2011
740,758,C-major triad,69,"Sonata No. 23, Op. 57 in F Minor, ""Appassionata"", I. Allegro assai",Ludwig van Beethoven,2017
741,759,enharmonic equivalent to major triad above Bb,54,"Sonata No. 24 in F-Sharp Major, Op. 78",Ludwig van Beethoven,2008
742,760,F#-diminished triad,52,"Sonata No. 24 in F-sharp Major, Op. 78",Ludwig van Beethoven,2011
743,761,enharmonic equivalent to major triad above F#,42,"Sonata No. 24 in F-sharp Major, Op. 78, First Movement",Ludwig van Beethoven,2008
744,762,G#-German augmented sixth chord in third inversion,43,"Sonata No. 26 in 3-flat Major, Op. 81a (2nd & 3rd Movements)",Ludwig van Beethoven,2004
745,763,G#-German augmented sixth chord,104,"Sonata No. 26 in 3-flat Major, Op. 81a (2nd & 3rd Movements)",Ludwig van Beethoven,2004
746,764,G#-German augmented sixth chord,67,"Sonata No. 26 in E-Flat Major, Op. 81a, ""Les Adiex"", First Movement",Ludwig van Beethoven,2011
747,765,Eb-major triad,42,"Sonata No. 26 in E-Flat Major, Op. 81a, ""Les Adiex"", First Movement",Ludwig van Beethoven,2011
748,766,G#-German augmented sixth chord in second inversion,49,"Sonata No. 26 in E-flat Major, Op. 81a, I. Das Lebewohl. Adagio - Allegro",Ludwig van Beethoven,2015
749,767,A-major triad,129,"Sonata No. 28 in A Major, Op. 101 (Complete)",Ludwig van Beethoven,2014
750,768,A-major triad,122,"Sonata No. 28 in A Major, Op. 101 (Complete)",Ludwig van Beethoven,2014
751,769,A-major triad,108,"Sonata No. 28 in A Major, Op. 101 (Complete)",Ludwig van Beethoven,2014
752,770,E-major triad,53,"Sonata No. 30 in E Major, Op. 109",Ludwig van Beethoven,2018
753,771,enharmonic equivalent to major triad above G#,120,"Sonata No. 31 In A-flat Major, Op. 110",Ludwig van Beethoven,2018
754,772,enharmonic equivalent to major triad above G#,99,"Sonata No. 31 in A-Flat Major, Op. 110 (Complete)",Ludwig van Beethoven,2014
755,773,enharmonic equivalent to major triad above G#,111,"Sonata No. 31 in A-flat Major, Op. 110",Ludwig van Beethoven,2018
756,774,enharmonic equivalent to major triad above Eb,117,"Sonata No. 31 in A-flat Major, Op. 110 (Complete)",Ludwig van Beethoven,2014
757,775,E-major-minor trichord,34,"Sonata No. 31 in A-flat Major, Op. 110, First movement",Ludwig van Beethoven,2011
758,776,G-incomplete dominant-seventh chord,59,"Sonata No. 32 in C Minor, Op. 111",Ludwig van Beethoven,2009
759,777,C-major triad,137,"Sonata No. 32 in C Minor, Op. 111 (Complete)",Ludwig van Beethoven,2014
760,778,C-major triad,58,"Sonata No. 32 in C minor, Op. 111",Ludwig van Beethoven,2018
761,779,Bb-major triad,63,"Sonata No. 4 in E-flat Major, Op. 7, 1st mov.",Ludwig van Beethoven,2013
762,780,G#-German augmented sixth chord,53,"Sonata No. 4 in E-flat Major, Op. 7, 1st mov.",Ludwig van Beethoven,2013
763,781,G#-German augmented sixth chord,64,"Sonata No. 4 in E-flat Major, Op. 7, First Movement",Ludwig van Beethoven,2011
764,782,Eb-major triad,85,"Sonata No. 4 in E-flat Major, Op. 7, I. Allegro molto e con brio",Ludwig van Beethoven,2015
765,783,Eb-major triad,67,"Sonata No. 4 in E-flat Major, Op. 7, I. Allegro molto e con brio",Ludwig van Beethoven,2017
766,784,Bb-major triad,51,"Sonata No. 4 in E-flat Major, Op. 7, I. Allegro molto e con brio",Ludwig van Beethoven,2017
767,785,A-major triad,64,"Sonata No. 7 in D Major, Op. 10 No. 3",Ludwig van Beethoven,2018
768,786,D-major triad,29,"Sonata No. 7 in D Major, Op. 10 No. 3, 1st mov.",Ludwig van Beethoven,2013
769,787,D-major triad,45,"Sonata No. 7 in D Major, Op. 10 No. 3, 1st mov.",Ludwig van Beethoven,2013
770,788,D-major triad,38,"Sonata No. 7 in D Major, Op. 10 No. 3, First Movement",Ludwig van Beethoven,2011
771,789,D-perfect-fourth major tetrachord,15,"Sonata No. 7, Op. 10 No. 3 in D Major, I. Presto",Ludwig van Beethoven,2017
772,790,D-major-minor trichord,22,"Sonata No. 7, Op. 10 No. 3 in D Major, I. Presto",Ludwig van Beethoven,2017
773,791,G-major triad,59,Sonata Op. 10/3,Ludwig van Beethoven,2006
774,792,A-major triad,101,Sonata Op. 101,Ludwig van Beethoven,2006
775,793,enharmonic equivalent to major triad above G#,98,Sonata Op. 110,Ludwig van Beethoven,2006
776,794,F-major triad,86,Sonata Op. 54 in F Major,Ludwig van Beethoven,2004
777,795,F#-diminished triad,62,Sonata Op. 78,Ludwig van Beethoven,2006
778,796,Eb-major triad,47,"Sonata Op. 81 No. 26, 'Les Adieux'",Ludwig van Beethoven,2004
779,797,Bb-major triad,135,"Sonata Op. 81 No. 26, 'Les Adieux'",Ludwig van Beethoven,2004
780,798,C-minor triad,43,"Sonata in A-flat, Op. 110",Ludwig van Beethoven,2004
781,799,enharmonic equivalent to major triad above G#,118,"Sonata in A-flat, Op. 110",Ludwig van Beethoven,2004
782,800,enharmonic equivalent to major triad above G#,103,"Sonata in A-flat, Op. 110",Ludwig van Beethoven,2009
783,801,C-major triad,59,"Sonata in C Major, Op. 53 'Waldstein'",Ludwig van Beethoven,2004
784,802,E-incomplete dominant-seventh chord,48,"Sonata in D Minor, Op. 31 No. 2 ""Tempest""",Ludwig van Beethoven,2018
785,803,D-minor triad,47,"Sonata in D minor, Op. 31, No. 2",Ludwig van Beethoven,2004
786,804,F#-diminished triad,24,"Sonata in D minor, Op. 31, No. 2",Ludwig van Beethoven,2004
787,805,F#-incomplete minor-seventh chord,62,"Sonata in E Major, Op. 109",Ludwig van Beethoven,2018
788,806,G#-German augmented sixth chord,187,"Sonata in E-flat Major, Op. 81a",Ludwig van Beethoven,2009
789,807,C-minor triad,62,"Thirty-Two Variaions in C Minor, WoO80",Ludwig van Beethoven,2011
790,808,G-major triad,80,"Thirty-Two Variaions in C Minor, WoO80",Ludwig van Beethoven,2011
791,809,G-major triad,86,"Thirty-Two Variaions in C Minor, WoO80",Ludwig van Beethoven,2011
792,810,D-incomplete minor-seventh chord,79,"Thirty-Two Variaions in C Minor, WoO80",Ludwig van Beethoven,2011
793,811,G-major triad,82,"Thirty-Two Variations  in C Minor, WoO 80",Ludwig van Beethoven,2015
794,812,C-minor triad,77,"Thirty-Two Variations in C Minor, WoO 80",Ludwig van Beethoven,2008
795,813,G-major triad,94,"Thirty-Two Variations in C Minor, WoO 80",Ludwig van Beethoven,2008
796,814,C-minor triad,81,"Thirty-Two Variations in C Minor, WoO 80",Ludwig van Beethoven,2008
797,815,C-minor triad,72,"Thirty-Two Variations in C Minor, WoO 80",Ludwig van Beethoven,2008
798,816,C-minor triad,67,"Thirty-Two Variations in C Minor, WoO 80",Ludwig van Beethoven,2008
799,817,C-minor triad,80,"Thirty-Two Variations in C Minor, WoO 80",Ludwig van Beethoven,2015
800,818,C-minor triad,84,"Thirty-Two Variations in C Minor, WoO 80",Ludwig van Beethoven,2015
801,819,C-minor triad,73,"Thirty-Two Variations in C Minor, WoO 80",Ludwig van Beethoven,2015
802,820,G-major triad,79,"Thirty-Two Variations in C Minor, WoO 80",Ludwig van Beethoven,2013
803,821,C-minor triad,93,"Thirty-Two Variations in C Minor, WoO 80",Ludwig van Beethoven,2013
804,822,C-minor triad,69,"Thirty-Two Variations in C Minor, WoO 80",Ludwig van Beethoven,2013
805,823,C-minor triad,61,"Thirty-Two Variations in C Minor, WoO 80",Ludwig van Beethoven,2017
806,824,C-minor triad,75,"Thirty-Two Variations in C Minor, WoO 80",Ludwig van Beethoven,2017
807,825,G-major triad,79,"Thirty-Two Variations in C Minor, WoO 80",Ludwig van Beethoven,2017
808,826,G-major triad,78,"Thirty-Two Variations in C Minor, WoO 80",Ludwig van Beethoven,2017
809,827,C-minor triad,73,"Thirty-Two Variations in C Minor, WoO 80",Ludwig van Beethoven,2017
810,828,G-major triad,95,"Thirty-Two Variations in C Minor, WoO 80",Ludwig van Beethoven,2017
811,829,C-minor triad,74,"Thirty-Two Variations in C Minor, WoO 80",Ludwig van Beethoven,2017
812,830,C-minor triad,88,"Thirty-Two Variations in C minor, WoO 80",Ludwig van Beethoven,2013
813,831,G-incomplete dominant-seventh chord,82,"Thirty-Two Variations in C minor, WoO 80    ",Ludwig van Beethoven,2015
814,832,C-minor triad,84,"Thirty-Two Variations in C minor, WoO 80    ",Ludwig van Beethoven,2015
815,833,Bb-major triad,30,Lark,Mikhail Glinka / Mily Balakirev,2008
816,834,enharmonic equivalent to diminished triad above F#,21,Lark,Mikhail Glinka / Mily Balakirev,2008
817,835,enharmonic equivalent to minor triad above F,7,"In the Garden, Etude-Idyll",Mily Balakirev,2011
818,836,Eb-major triad,148,Pictures at an E,Modest Mussorgsky,2006
819,837,Eb-major triad,120,Pictures at an E,Modest Mussorgsky,2006
820,838,Eb-major triad,154,Pictures at an Exhibition,Modest Mussorgsky,2004
821,839,Eb-major triad,110,Pictures at an Exhibition,Modest Mussorgsky,2004
822,840,Eb-major triad,121,Pictures at an Exhibition,Modest Mussorgsky,2018
823,841,Eb-major triad,122,Pictures at an Exhibition,Modest Mussorgsky,2018
824,842,Bb-major triad,50,"Sonata Bb, Op. 24, No. 2",Muzio Clementi,2009
